KukaTheta-1 KukaTheta-2 KukaTheta-3 KukaTheta-4 KukaTheta-5 KukaTheta-6 
0.03 0.00 0.00 0.00 0.00 0.00 
0.03 0.00 0.00 0.00 0.00 0.00 
0.04 0.00 0.00 0.00 0.00 0.00 
0.04 0.00 0.00 0.00 0.00 0.00 
0.04 0.00 0.00 0.00 0.00 0.00 
0.05 0.00 0.00 0.00 0.00 0.00 
0.05 0.00 0.00 0.00 0.00 0.00 
0.06 0.00 0.00 0.00 0.00 0.00 
0.06 0.00 0.00 0.00 0.00 0.00 
0.07 0.00 0.00 0.00 0.00 0.00 
0.08 0.00 0.00 0.00 0.00 0.00 
0.08 0.00 0.00 0.00 0.00 0.00 
0.09 0.00 0.00 0.00 0.00 0.00 
0.10 0.00 0.00 0.00 0.00 0.00 
0.11 0.00 0.00 0.00 0.00 0.00 
0.12 0.00 0.00 0.00 0.00 0.00 
0.13 0.00 0.00 0.00 0.00 0.00 
0.14 0.00 0.00 0.00 0.00 0.00 
0.15 0.00 0.00 0.00 0.00 0.00 
0.17 0.00 0.00 0.00 0.00 0.00 
0.18 0.00 0.00 0.00 0.00 0.00 
0.20 0.00 0.00 0.00 0.00 0.00 
0.21 0.00 0.00 0.00 0.00 0.00 
0.23 0.00 0.00 0.00 0.00 0.00 
0.25 0.00 0.00 0.00 0.00 0.00 
0.27 0.00 0.00 0.00 0.00 0.00 
0.29 0.00 0.00 0.00 0.00 0.00 
0.31 0.00 0.00 0.00 0.00 0.00 
0.34 0.00 0.00 0.00 0.00 0.00 
0.36 0.00 0.00 0.00 0.00 0.00 
0.39 0.00 0.00 0.00 0.00 0.00 
0.42 0.00 0.00 0.00 0.00 0.00 
0.45 0.00 0.00 0.00 0.00 0.00 
0.49 0.00 0.00 0.00 0.00 0.00 
0.52 0.00 0.00 0.00 0.00 0.00 
0.56 0.00 0.00 0.00 0.00 0.00 
0.60 0.00 0.00 0.00 0.00 0.00 
0.65 0.00 0.00 0.00 0.00 0.00 
0.69 0.00 0.00 0.00 0.00 0.00 
0.74 0.00 0.00 0.00 0.00 0.00 
0.79 0.00 0.00 0.00 0.00 0.00 
0.84 0.00 0.00 0.00 0.00 0.00 
0.90 0.00 0.00 0.00 0.00 0.00 
0.96 0.00 0.00 0.00 0.00 0.00 
1.03 0.00 0.00 0.00 0.00 0.00 
1.09 0.00 0.00 0.00 0.00 0.00 
1.16 0.00 0.00 0.00 0.00 0.00 
1.24 0.00 0.00 0.00 0.00 0.00 
1.31 0.00 0.00 0.00 0.00 0.00 
1.40 0.00 0.00 0.00 0.00 0.00 
1.48 0.00 0.00 0.00 0.00 0.00 
1.57 0.00 0.00 0.00 0.00 0.00 
1.67 0.00 0.00 0.00 0.00 0.00 
1.77 0.00 0.00 0.00 0.00 0.00 
1.87 0.00 0.00 0.00 0.00 0.00 
1.98 0.00 0.00 0.00 0.00 0.00 
2.10 0.00 0.00 0.00 0.00 0.00 
2.22 0.00 0.00 0.00 0.00 0.00 
2.34 0.00 0.00 0.00 0.00 0.00 
2.47 0.00 0.00 0.00 0.00 0.00 
2.61 0.00 0.00 0.00 0.00 0.00 
2.75 0.00 0.00 0.00 0.00 0.00 
2.90 0.00 0.00 0.00 0.00 0.00 
3.05 0.00 0.00 0.00 0.00 0.00 
3.21 0.00 0.00 0.00 0.00 0.00 
3.38 0.00 0.00 0.00 0.00 0.00 
3.56 0.00 0.00 0.00 0.00 0.00 
3.74 0.00 0.00 0.00 0.00 0.00 
3.92 0.00 0.00 0.00 0.00 0.00 
4.12 0.00 0.00 0.00 0.00 0.00 
4.32 0.00 0.00 0.00 0.00 0.00 
4.53 0.00 0.00 0.00 0.00 0.00 
4.75 0.00 0.00 0.00 0.00 0.00 
4.97 0.00 0.00 0.00 0.00 0.00 
5.20 0.00 0.00 0.00 0.00 0.00 
